Section,Item,Value
Model Info,Project,Retail Daily Demand Forecasting
Model Info,Final Model Selected,Random Forest Regressor (tuned)
Model Info,Algorithm Family,Bagging ensemble of decision trees (sklearn RandomForestRegressor)
Model Info,Selection Criterion,Lowest RMSE on chronological held-out test set
Model Info,Training Period,2019-01-29 to 2023-10-02
Model Info,Test Period,2023-10-03 to 2023-12-31
Model Info,Training Rows,30744
Model Info,Test Rows,1620
Model Info,Number of Features,44
Model Info,Cross-Validation Scheme,"TimeSeriesSplit, 3 folds (no random shuffling)"
,,
Hyperparameters (tuned),n_estimators,150
Hyperparameters (tuned),max_depth,12
Hyperparameters (tuned),min_samples_leaf,1
Hyperparameters (tuned),random_state,42
Hyperparameters (tuned),n_jobs,-1
Hyperparameters (tuned),Search Method,RandomizedSearchCV (n_iter=3)
Hyperparameters (tuned),Search Grid - n_estimators,"[100, 150]"
Hyperparameters (tuned),Search Grid - max_depth,"[8, 12]"
Hyperparameters (tuned),Search Grid - min_samples_leaf,"[1, 3]"
Hyperparameters (tuned),CV RMSE (best fold avg),25.70
,,
Performance - Final Model (Random Forest),RMSE (units),25.29
Performance - Final Model (Random Forest),MAE (units),17.05
Performance - Final Model (Random Forest),R-squared,0.9667
Performance - Final Model (Random Forest),Fit Time (seconds),97.72
,,
Performance - Runner-up (Gradient Boosting),RMSE (units),25.77
Performance - Runner-up (Gradient Boosting),MAE (units),17.01
Performance - Runner-up (Gradient Boosting),R-squared,0.9654
Performance - Runner-up (Gradient Boosting),Fit Time (seconds),10.47
Performance - Runner-up (Gradient Boosting),Best Params,"max_iter=100, max_depth=6, learning_rate=0.1"
,,
Performance - Ridge Regression,RMSE (units),35.41
Performance - Ridge Regression,MAE (units),23.83
Performance - Ridge Regression,R-squared,0.9348
Performance - Ridge Regression,Fit Time (seconds),0.54
Performance - Ridge Regression,Best Params,alpha=0.1
,,
Performance - Naive Baseline (lag-7),RMSE (units),67.89
Performance - Naive Baseline (lag-7),MAE (units),35.78
Performance - Naive Baseline (lag-7),R-squared,0.7602
,,
Top Features (Random Forest importance),1. sales_roll_28 (28-day rolling avg sales),0.838
Top Features (Random Forest importance),2. sales_lag_7 (sales same weekday last week),0.045
Top Features (Random Forest importance),3. on_promo (promotion flag),0.041
Top Features (Random Forest importance),4. stockout_flag,0.032
Top Features (Random Forest importance),5. is_weekend,0.013
Top Features (Random Forest importance),6. category_Cold Weather Apparel,0.008
Top Features (Random Forest importance),7. week_of_year,0.003
Top Features (Random Forest importance),8. sales_roll_7 (7-day rolling avg sales),0.003
Top Features (Random Forest importance),9. category_Frozen Foods,0.002
Top Features (Random Forest importance),10. temp_f,0.002
Top Features (Random Forest importance),11. sales_lag_1 (previous day sales),0.002
Top Features (Random Forest importance),12. days_to_holiday,0.001
Top Features (Random Forest importance),13. category_Beverages,0.001
Top Features (Random Forest importance),14. category_Produce,0.001
Top Features (Random Forest importance),15. precip_in,0.001
,,
Full Feature List (44 features),Calendar,"day_of_week, week_of_year, is_weekend, days_to_holiday"
Full Feature List (44 features),Weather,"temp_f, precip_in"
Full Feature List (44 features),Promotion/Stock,"on_promo, stockout_flag"
Full Feature List (44 features),Recent Sales History,"sales_lag_1, sales_lag_7, sales_roll_7, sales_roll_28"
Full Feature List (44 features),Store (one-hot),"store_Store_2, store_Store_3 (Store_1 is reference)"
Full Feature List (44 features),Category (one-hot),"category_Produce, category_Bakery, category_Frozen Foods, category_Cold Weather Apparel, category_Cleaning Supplies (Beverages is reference)"
