fiscal_year,dept_id,dept_name,category_id,category_name,budget_allocated,actual_spend,is_partial_year,variance_amount,variance_pct,inflation_rate,cola_pct,cpi_index,unemployment_rate,interest_rate_pct,workload_value,authorized_fte,prior_actual_spend,prior_budget_allocated,spend_yoy_growth,rolling3_avg_spend,rolling3_std_spend,execution_rate,prior_execution_rate,rolling3_execution_rate,workload_yoy_growth,spend_per_workload_unit,spend_per_fte,category_share_of_dept,dept_share_of_agency,committed_capital_pipeline,category_id_code,dept_id_code
2019,DEPT-01,Public Safety,CAP,Capital Outlay,23633.2,22857.0,False,-776.2,-3.28,0.0317,0.0265,103.17,4.65,4.63,213871.0,1965.2,,,,,,0.9671563732376487,,,,0.10687283455915014,11.630877264400569,0.1238091420622832,0.1755904683514518,0.0,0,0
2020,DEPT-01,Public Safety,CAP,Capital Outlay,23312.2,23656.0,False,343.8,1.47,0.0046,0.0,103.64,4.28,3.12,219228.0,2011.0,22857.0,23633.2,0.03495646847792799,22857.0,,1.0147476428651092,0.9671563732376487,0.9671563732376487,0.025047809193392334,0.10790592442571205,11.763301839880656,0.1246028468611207,0.17781031238971803,3009.1,0,0
2021,DEPT-01,Public Safety,CAP,Capital Outlay,24155.1,22877.8,False,-1277.3,-5.29,0.0278,0.0235,106.52,4.73,4.43,218218.0,2003.5,23656.0,23312.2,-0.03289651673993921,23256.5,564.9783181680515,0.9471208978642192,1.0147476428651092,0.990952008051379,-0.00460707573850061,0.10483919749974796,11.418916895432991,0.12190089910558337,0.16889114146590628,9365.5,0,0
2022,DEPT-01,Public Safety,CAP,Capital Outlay,26451.7,25744.7,False,-707.0,-2.67,0.0288,0.0344,109.59,4.48,2.47,214952.0,2053.5,22877.8,24155.1,0.12531362281338243,23130.266666666666,455.417186032031,0.9732720392262123,0.9471208978642192,0.9763416379889923,-0.014966684691455345,0.11976952994156835,12.536985634282932,0.13002905674424056,0.17118188897604922,8471.1,0,0
2023,DEPT-01,Public Safety,CAP,Capital Outlay,25807.6,23033.3,False,-2774.3,-10.75,0.0324,0.0276,113.14,4.73,3.44,220327.0,2093.8,25744.7,26451.7,-0.10531876463893541,24092.833333333332,1482.5304122794012,0.892500658720687,0.9732720392262123,0.9783801933185136,0.02500558264170616,0.10454143159939544,11.000716400802368,0.10856964548581373,0.172747322791586,15103.1,0,0
2024,DEPT-01,Public Safety,CAP,Capital Outlay,26376.1,25083.7,False,-1292.4,-4.9,0.0258,0.0224,116.06,4.93,3.31,218434.0,2174.9,23033.3,25807.6,0.08901894214029249,23885.266666666666,1612.1923902975518,0.9510010956889002,0.892500658720687,0.9376311986037061,-0.008591774952683928,0.11483422910352785,11.533265897282634,0.11389122721943892,0.17035793075106123,3979.0,0,0
2025,DEPT-01,Public Safety,CAP,Capital Outlay,28679.4,29821.9,False,1142.5,3.98,0.0229,0.0211,118.71,4.52,3.94,220143.0,2206.5,25083.7,26376.1,0.18889557760617448,24620.566666666666,1413.7863534966389,1.0398369561427365,0.9510010956889002,0.9389245978785997,0.007823873572795348,0.13546603798440104,13.515476999773398,0.13142988098464767,0.16825418105932058,1779.8,0,0
2026,DEPT-01,Public Safety,CAP,Capital Outlay,27458.7,14186.9,True,-13271.8,-48.33,0.033,0.0351,122.62,5.48,3.01,228308.0,2200.3,29821.9,28679.4,-0.5242791371441793,25979.63333333333,3481.8522216391248,0.5166632069253096,1.0398369561427365,0.9611129035174413,0.037089528170325625,0.06213930304676139,6.447711675680588,0.11963385222538916,0.1579604972213786,7875.6,0,0
2019,DEPT-01,Public Safety,CONTR,Contracted Services,9681.4,9208.7,False,-472.7,-4.88,0.0317,0.0265,103.17,4.65,4.63,213871.0,1965.2,,,,,,0.9511744169231724,,,-0.0632347530528935,0.04305726349060883,4.68588438835742,0.04988061628861826,0.1755904683514518,0.0,1,0
2020,DEPT-01,Public Safety,CONTR,Contracted Services,9834.6,9532.8,False,-301.8,-3.07,0.0046,0.0,103.64,4.28,3.12,219228.0,2011.0,9208.7,9681.4,0.03519497866148291,9208.7,,0.9693124275517051,0.9511744169231724,0.9511744169231724,0.025047809193392334,0.043483496633641684,4.740328194927896,0.05021195546828252,0.17781031238971803,3009.1,1,0
2021,DEPT-01,Public Safety,CONTR,Contracted Services,10710.4,10312.4,False,-398.0,-3.72,0.0278,0.0235,106.52,4.73,4.43,218218.0,2003.5,9532.8,9834.6,0.08178079892581414,9370.75,229.17330778255902,0.9628398565879892,0.9693124275517051,0.9602434222374387,-0.00460707573850061,0.047257329826137166,5.147192413276765,0.054948064583850625,0.16889114146590628,9365.5,1,0
2022,DEPT-01,Public Safety,CONTR,Contracted Services,10083.8,8811.8,False,-1272.0,-12.61,0.0288,0.0344,109.59,4.48,2.47,214952.0,2053.5,10312.4,10710.4,-0.14551413831891702,9684.633333333333,567.2992537747012,0.8738570776889665,0.9628398565879892,0.9611089003542889,-0.014966684691455345,0.04099426848784845,4.291112734355977,0.04450586109835806,0.17118188897604922,8471.1,1,0
2023,DEPT-01,Public Safety,CONTR,Contracted Services,11364.4,10345.0,False,-1019.4,-8.97,0.0324,0.0276,113.14,4.73,3.44,220327.0,2093.8,8811.8,10083.8,0.1739939626410043,9552.333333333334,750.490675047554,0.9102988279187639,0.8738570776889665,0.9353364539428869,0.02500558264170616,0.04695293813286615,4.940777533670837,0.04876213927447405,0.172747322791586,15103.1,1,0
