fiscal_year,dept_id,dept_name,category_id,category_name,budget_allocated,actual_spend,is_partial_year,variance_amount,variance_pct
2019,DEPT-01,Public Safety,PERS,Personnel & Compensation,102135.0,101772.3,False,-362.7,-0.36
2019,DEPT-01,Public Safety,OPS,Operating Expenses,38214.7,36639.3,False,-1575.4,-4.12
2019,DEPT-01,Public Safety,CAP,Capital Outlay,23633.2,22857.0,False,-776.2,-3.28
2019,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,14947.1,14137.5,False,-809.6,-5.42
2019,DEPT-01,Public Safety,CONTR,Contracted Services,9681.4,9208.7,False,-472.7,-4.88
2020,DEPT-01,Public Safety,PERS,Personnel & Compensation,109946.0,106819.6,False,-3126.4,-2.84
2020,DEPT-01,Public Safety,OPS,Operating Expenses,37548.6,36665.5,False,-883.1,-2.35
2020,DEPT-01,Public Safety,CAP,Capital Outlay,23312.2,23656.0,False,343.8,1.47
2020,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,15396.7,13177.3,False,-2219.4,-14.41
2020,DEPT-01,Public Safety,CONTR,Contracted Services,9834.6,9532.8,False,-301.8,-3.07
2021,DEPT-01,Public Safety,PERS,Personnel & Compensation,100797.9,99074.1,False,-1723.8,-1.71
2021,DEPT-01,Public Safety,OPS,Operating Expenses,41475.9,39125.7,False,-2350.2,-5.67
2021,DEPT-01,Public Safety,CAP,Capital Outlay,24155.1,22877.8,False,-1277.3,-5.29
2021,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17180.0,16285.4,False,-894.6,-5.21
2021,DEPT-01,Public Safety,CONTR,Contracted Services,10710.4,10312.4,False,-398.0,-3.72
2022,DEPT-01,Public Safety,PERS,Personnel & Compensation,117222.3,103180.0,False,-14042.3,-11.98
2022,DEPT-01,Public Safety,OPS,Operating Expenses,44097.0,44124.5,False,27.5,0.06
2022,DEPT-01,Public Safety,CAP,Capital Outlay,26451.7,25744.7,False,-707.0,-2.67
2022,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17233.6,16130.9,False,-1102.7,-6.4
2022,DEPT-01,Public Safety,CONTR,Contracted Services,10083.8,8811.8,False,-1272.0,-12.61
2023,DEPT-01,Public Safety,PERS,Personnel & Compensation,124838.4,114987.7,False,-9850.7,-7.89
2023,DEPT-01,Public Safety,OPS,Operating Expenses,47003.3,48736.6,False,1733.3,3.69
2023,DEPT-01,Public Safety,CAP,Capital Outlay,25807.6,23033.3,False,-2774.3,-10.75
2023,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,17630.1,15049.7,False,-2580.4,-14.64
2023,DEPT-01,Public Safety,CONTR,Contracted Services,11364.4,10345.0,False,-1019.4,-8.97
2024,DEPT-01,Public Safety,PERS,Personnel & Compensation,126414.7,120300.5,False,-6114.2,-4.84
2024,DEPT-01,Public Safety,OPS,Operating Expenses,45876.8,45327.7,False,-549.1,-1.2
2024,DEPT-01,Public Safety,CAP,Capital Outlay,26376.1,25083.7,False,-1292.4,-4.9
2024,DEPT-01,Public Safety,GRANTS,Grants & Subsidies,19331.5,18516.6,False,-814.9,-4.22
2024,DEPT-01,Public Safety,CONTR,Contracted Services,12129.9,11014.1,False,-1115.8,-9.2
