fiscal_year,fiscal_month,calendar_month,calendar_year,period,dept_id,category_id,obligated_amount
2019,1,10,2018,2018-10,DEPT-01,PERS,5023.1
2019,2,11,2018,2018-11,DEPT-01,PERS,5339.3
2019,3,12,2018,2018-12,DEPT-01,PERS,6620.9
2019,4,1,2019,2019-01,DEPT-01,PERS,6550.3
2019,5,2,2019,2019-02,DEPT-01,PERS,7956.0
2019,6,3,2019,2019-03,DEPT-01,PERS,9134.9
2019,7,4,2019,2019-04,DEPT-01,PERS,8646.2
2019,8,5,2019,2019-05,DEPT-01,PERS,9066.7
2019,9,6,2019,2019-06,DEPT-01,PERS,8856.6
2019,10,7,2019,2019-07,DEPT-01,PERS,10550.0
2019,11,8,2019,2019-08,DEPT-01,PERS,10270.8
2019,12,9,2019,2019-09,DEPT-01,PERS,13757.4
2019,1,10,2018,2018-10,DEPT-01,OPS,1619.4
2019,2,11,2018,2018-11,DEPT-01,OPS,2149.1
2019,3,12,2018,2018-12,DEPT-01,OPS,2813.7
2019,4,1,2019,2019-01,DEPT-01,OPS,2358.0
2019,5,2,2019,2019-02,DEPT-01,OPS,2955.2
2019,6,3,2019,2019-03,DEPT-01,OPS,2882.7
2019,7,4,2019,2019-04,DEPT-01,OPS,2968.0
2019,8,5,2019,2019-05,DEPT-01,OPS,3291.1
2019,9,6,2019,2019-06,DEPT-01,OPS,3374.4
2019,10,7,2019,2019-07,DEPT-01,OPS,3744.0
2019,11,8,2019,2019-08,DEPT-01,OPS,3931.9
2019,12,9,2019,2019-09,DEPT-01,OPS,4551.8
2019,1,10,2018,2018-10,DEPT-01,CAP,852.4
2019,2,11,2018,2018-11,DEPT-01,CAP,1250.8
2019,3,12,2018,2018-12,DEPT-01,CAP,1373.7
2019,4,1,2019,2019-01,DEPT-01,CAP,1440.7
2019,5,2,2019,2019-02,DEPT-01,CAP,1622.0
2019,6,3,2019,2019-03,DEPT-01,CAP,1838.9
2019,7,4,2019,2019-04,DEPT-01,CAP,1863.5
